Q1,Q2_1,Q3,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10
United States of America,34,2,5,5,5,5,5,5,5,5,2,1,5,1,5,1,2,2,4,1,1,5,1,4,4,2,4
Italy ,24,3,5,5,5,5,4,5,5,5,5,5,5,5,4,4,2,4,5,3,3,1,4,4,4,2,5
Malaysia,23,2,5,5,5,5,4,4,4,4,4,4,4,4,3,4,5,4,4,3,3,3,4,4,3,3,4
Belgium,21,1,4,2,5,4,4,4,4,3,5,5,5,5,3,2,2,2,4,1,4,2,3,2,4,1,3
Luxembourg,24,3,5,4,5,4,3,4,5,4,5,5,4,4,5,5,5,2,4,1,3,5,4,3,4,3,4
Germany,23,2,5,5,5,2,1,1,4,1,5,5,5,5,4,1,1,2,5,1,1,5,4,1,2,1,5
Singapore/USA,23,1,4,5,3,4,1,2,2,3,4,5,5,4,5,2,3,2,5,2,4,4,5,3,4,1,4
The Netherlands,30,3,5,5,5,5,2,5,5,3,5,5,4,5,3,4,3,4,4,2,5,4,5,4,5,3,5
The Netherlands,27,2,5,5,4,4,1,4,2,2,3,4,5,5,4,3,2,2,5,1,4,5,5,3,4,1,3
Malaysia,24,3,5,3,5,4,5,4,5,4,5,5,4,4,2,3,2,4,4,2,4,4,4,3,4,4,4
Taiwan,24,2,4,4,4,4,3,4,4,4,3,4,4,3,3,4,3,4,4,2,3,3,4,3,3,2,2
Denmark/Japan ,23,1,4,4,4,4,1,4,4,4,4,5,4,4,3,3,3,4,4,3,4,2,4,3,4,2,4
The Netherlands,34,2,4,4,5,4,4,2,4,3,2,4,5,4,1,1,1,5,5,4,4,4,5,5,5,3,4
Malaysia,23,2,4,4,3,3,3,3,4,3,5,5,5,5,5,4,5,4,4,2,3,3,4,4,4,2,4
United States of America,28,3,5,4,2,4,2,4,4,4,3,5,4,4,4,1,2,1,4,2,2,1,4,2,2,1,2
India,24,5,5,5,5,4,3,4,4,2,4,5,5,4,5,4,3,3,4,2,4,2,4,4,4,2,4
Malaysia,24,2,4,4,4,4,4,5,5,4,5,5,4,5,5,5,4,3,4,1,3,1,4,1,2,1,3
Denmark ,23,2,5,5,4,5,4,4,4,4,5,4,4,4,2,3,3,2,4,2,2,3,2,2,4,2,3
Malaysia ,23,2,5,5,5,3,2,3,3,1,5,4,4,4,4,4,3,3,4,2,4,3,4,3,4,4,3
Spain,24,3,5,3,5,4,1,4,3,1,5,5,5,5,2,1,1,4,4,4,5,1,4,2,3,1,4
Israel,25,3,5,5,5,5,2,4,3,4,5,5,5,5,4,4,3,3,5,2,3,4,2,4,5,2,5
Canada,21,2,4,5,5,4,5,4,4,5,5,5,5,5,5,1,3,1,4,2,1,1,4,4,4,3,4
Russia,26,3,5,5,5,5,3,3,5,4,5,5,4,5,2,2,3,3,5,1,4,4,3,3,2,1,5
