Document;Pair;Support_Turns;Support_Tokens;Undermine_Turns;Undermine_Tokens;Participant_Turns;Participant_Tokens
28 and 29.docx;28_29;14.0;562.0;4.0;231.0;15.0;517.0
40 and 41.docx;40_41;20.0;883.0;12.0;727.0;7.0;261.0
42 and 43.docx;42_43;14.0;807.0;36.0;2141.0;7.0;452.0
26 and 27.docx;26_27;22.0;1157.0;14.0;882.0;14.0;938.0
24 and 25.docx;24_25;10.0;228.0;10.0;248.0;12.0;371.0
34 and 35.docx;34_35;20.0;1221.0;14.0;731.0;16.0;522.0
36 and 37.docx;36_37;14.0;830.0;16.0;435.0;9.0;625.0
30 and 31.docx;30_31;10.0;244.0;10.0;243.0;7.0;418.0
32 and 33.docx;32_33;14.0;668.0;38.0;1647.0;6.0;268.0
38 and 39.docx;38_39;4.0;183.0;10.0;464.0;5.0;185.0
AVERAGE;;14.2;678.3;16.4;774.9;9.8;455.7
